[2026-05-17 20:26:18] SUCCESS stock_000625       shape=(1540, 10)
[2026-05-17 20:26:24] SUCCESS stock_601127       shape=(1539, 10)
[2026-05-17 20:26:31] SUCCESS stock_600246       shape=(1539, 10)
[2026-05-17 20:26:37] SUCCESS stock_000560       shape=(1540, 10)
[2026-05-17 20:26:59] SUCCESS stock_600519       shape=(1540, 10)
[2026-05-17 20:27:04] SUCCESS stock_000799       shape=(1540, 10)
[2026-05-17 20:27:08] SUCCESS stock_600578       shape=(1540, 10)
[2026-05-17 20:27:15] SUCCESS stock_601016       shape=(1534, 10)
[2026-05-17 20:27:20] SUCCESS stock_000063       shape=(1539, 10)
[2026-05-17 20:27:26] SUCCESS stock_300136       shape=(1540, 10)
[2026-05-17 20:27:28] SUCCESS index_000300       shape=(1540, 9)
[2026-05-17 20:27:30] SUCCESS index_000001       shape=(1540, 9)
[2026-05-17 20:28:17] SUCCESS macro_cpi          shape=(70, 3)
[2026-05-17 20:28:19] SUCCESS macro_m2           shape=(76, 3)
[2026-05-17 20:28:33] SUCCESS finance_000625     years=2021-2025, rows=5
[2026-05-17 20:29:00] SUCCESS finance_601127     years=2021-2025, rows=5
[2026-05-17 20:29:22] SUCCESS finance_600246     years=2021-2025, rows=5
[2026-05-17 20:29:36] SUCCESS finance_000560     years=2021-2025, rows=5
[2026-05-17 20:29:47] SUCCESS finance_600519     years=2021-2025, rows=5
[2026-05-17 20:29:59] SUCCESS finance_000799     years=2021-2025, rows=5
[2026-05-17 20:30:37] SUCCESS finance_600578     years=2021-2025, rows=5
[2026-05-17 20:31:05] SUCCESS finance_601016     years=2021-2025, rows=5
[2026-05-17 20:31:17] SUCCESS finance_000063     years=2021-2025, rows=5
[2026-05-17 20:31:28] SUCCESS finance_300136     years=2021-2025, rows=5
