date,code,name,open,close,high,low,volume,amount,pct_chg,index_return
2020-01-02,000001,上证综指,3066.336,3085.198,3098.1,3066.336,29247020800,,,
2020-01-03,000001,上证综指,3089.022,3083.786,3093.819,3074.518,26149666700,,-0.04576691674245126,-0.0004577739299235146
2020-01-06,000001,上证综指,3070.909,3083.408,3107.203,3065.309,31257584200,,-0.012257659902470408,-0.00012258411214998016
2020-01-07,000001,上证综指,3085.488,3104.802,3105.451,3084.329,27658311100,,0.6938426572156597,0.006914466456994868
2020-01-08,000001,上证综指,3094.239,3066.893,3094.239,3059.131,29787255300,,-1.2209796309072263,-0.012284948224923231
2020-01-09,000001,上证综指,3082.64,3094.882,3097.329,3080.131,24343564900,,0.9126174274746379,0.009084782388747367
2020-01-10,000001,上证综指,3102.294,3092.291,3105.225,3081.396,21044246200,,-0.08371886230233994,-0.0008375392611324757
2020-01-13,000001,上证综指,3091.493,3115.57,3115.57,3075.384,21062100400,,0.7528075462496897,0.007499880914455071
2020-01-14,000001,上证综指,3120.667,3106.82,3127.169,3105.605,22997376900,,-0.2808474853718601,-0.0028124260187863933
2020-01-15,000001,上证综指,3103.175,3090.038,3107.943,3082.043,20231302300,,-0.5401664724702493,-0.0054163064659224405
2020-01-16,000001,上证综指,3095.734,3074.081,3096.372,3070.884,20337547500,,-0.5164014164227071,-0.005177393766886357
2020-01-17,000001,上证综指,3081.464,3075.496,3091.952,3067.253,19030429900,,0.046030016775744365,0.0004601942621328964
2020-01-20,000001,上证综指,3082.113,3095.787,3096.311,3070.48,21049334100,,0.6597634983105172,0.00657596584723448
2020-01-21,000001,上证综指,3085.79,3052.142,3085.79,3051.23,23483073900,,-1.4098192155984846,-0.014198515703649123
2020-01-22,000001,上证综指,3038.487,3060.755,3069.253,3006.268,22385286500,,0.28219525828090397,0.002817978349595409
2020-01-23,000001,上证综指,3037.952,2976.528,3045.041,2955.346,27276323400,,-2.751837373458521,-0.02790409696836103
2020-02-03,000001,上证综指,2716.698,2746.606,2766.577,2716.698,21591210300,,-7.724503179543396,-0.08039155295803142
2020-02-04,000001,上证综指,2685.269,2783.288,2786.164,2685.269,36404620000,,1.3355392072980088,0.013266995006162886
2020-02-05,000001,上证综指,2792.371,2818.088,2842.743,2778.864,30976182300,,1.2503197656872134,0.012425678173196912
2020-02-06,000001,上证综指,2826.885,2866.51,2876.588,2807.609,31639214200,,1.718257201336515,0.01703662112507254
2020-02-07,000001,上证综指,2858.932,2875.964,2875.964,2838.77,30947964200,,0.32980872210457424,0.0032926604600673234
2020-02-10,000001,上证综指,2860.499,2890.488,2891.848,2851.05,29492978400,,0.5050132755486381,0.005037423605699122
2020-02-11,000001,上证综指,2894.541,2901.674,2913.816,2882.243,26916833500,,0.386993476534081,0.003862465831120756
2020-02-12,000001,上证综指,2895.556,2926.899,2926.899,2892.424,24873342900,,0.8693257753972228,0.008655688961907562
2020-02-13,000001,上证综指,2927.144,2906.074,2935.406,2901.243,27480484400,,-0.7115038817533392,-0.007140471413961569
2020-02-14,000001,上证综指,2899.866,2917.008,2926.943,2899.574,25065062700,,0.3762464410747901,0.0037554040455671177
2020-02-17,000001,上证综指,2924.991,2983.622,2983.637,2924.991,31319800700,,2.2836413201472228,0.022579565288732537
2020-02-18,000001,上证综指,2981.41,2984.972,2990.6,2960.775,31166591300,,0.045247018556660024,0.00045236785179967557
2020-02-19,000001,上证综指,2979.522,2975.402,2998.272,2971.822,31514115100,,-0.32060602243505487,-0.003211210646754067
2020-02-20,000001,上证综指,2981.88,3030.154,3031.371,2968.445,34573288100,,1.8401547085066028,0.01823428739292432
2020-02-21,000001,上证综指,3022.246,3039.669,3058.898,3020.141,36455727600,,0.3140104430335855,0.0031351845989182284
