date,code,close
2020-01-02,000063,602.59
2020-01-03,000063,621.29
2020-01-06,000063,623.84
2020-01-07,000063,622.14
2020-01-08,000063,607.01
2020-01-09,000063,629.28
2020-01-10,000063,635.06
2020-01-13,000063,645.25
2020-01-14,000063,624.01
2020-01-15,000063,627.58
2020-01-16,000063,635.91
2020-01-17,000063,660.21
2020-01-20,000063,680.95
2020-01-21,000063,656.3
2020-01-22,000063,690.98
2020-01-23,000063,665.82
2020-02-03,000063,610.41
2020-02-04,000063,652.22
2020-02-05,000063,649.33
2020-02-06,000063,666.67
2020-02-07,000063,661.74
2020-02-10,000063,681.97
2020-02-11,000063,680.1
2020-02-12,000063,682.31
2020-02-13,000063,675.0
2020-02-14,000063,670.92
2020-02-17,000063,732.97
2020-02-18,000063,739.93
2020-02-19,000063,742.48
2020-02-20,000063,757.95
2020-02-21,000063,774.27
2020-02-24,000063,851.78
2020-02-25,000063,936.77
2020-02-26,000063,866.06
2020-02-27,000063,875.07
2020-02-28,000063,849.91
2020-03-02,000063,928.11
2020-03-03,000063,899.89
2020-03-04,000063,873.03
2020-03-05,000063,882.38
2020-03-06,000063,864.53
2020-03-09,000063,867.08
2020-03-10,000063,920.63
2020-03-11,000063,892.07
2020-03-12,000063,874.05
2020-03-13,000063,863.34
2020-03-16,000063,776.99
2020-03-17,000063,706.28
2020-03-18,000063,664.63
2020-03-19,000063,709.68
2020-03-20,000063,711.89
2020-03-23,000063,694.04
2020-03-24,000063,723.28
2020-03-25,000063,762.37
2020-03-26,000063,732.63
2020-03-27,000063,737.55
2020-03-30,000063,726.51
2020-03-31,000063,727.53
2020-04-01,000063,705.09
2020-04-02,000063,725.83
2020-04-03,000063,696.42
2020-04-07,000063,708.83
2020-04-08,000063,699.14
2020-04-09,000063,698.97
2020-04-10,000063,667.86
2020-04-13,000063,654.43
2020-04-14,000063,671.94
2020-04-15,000063,671.26
2020-04-16,000063,666.33
2020-04-17,000063,679.93
2020-04-20,000063,691.83
2020-04-21,000063,686.39
2020-04-22,000063,690.13
2020-04-23,000063,679.42
2020-04-24,000063,660.38
2020-04-27,000063,660.38
2020-04-28,000063,665.65
2020-04-29,000063,658.51
2020-04-30,000063,698.46
2020-05-06,000063,712.57
2020-05-07,000063,717.5
2020-05-08,000063,722.26
2020-05-11,000063,731.61
2020-05-12,000063,717.67
2020-05-13,000063,709.85
2020-05-14,000063,691.49
2020-05-15,000063,699.82
2020-05-18,000063,683.5
2020-05-19,000063,687.24
2020-05-20,000063,687.58
2020-05-21,000063,668.03
2020-05-22,000063,652.39
2020-05-25,000063,630.3
2020-05-26,000063,637.94
2020-05-27,000063,628.94
2020-05-28,000063,617.04
2020-05-29,000063,612.79
2020-06-01,000063,655.28
2020-06-02,000063,656.81
2020-06-03,000063,657.83
2020-06-04,000063,650.01
2020-06-05,000063,648.82
2020-06-08,000063,661.57
2020-06-09,000063,658.68
2020-06-10,000063,655.11
2020-06-11,000063,650.69
2020-06-12,000063,649.33
2020-06-15,000063,638.96
2020-06-16,000063,682.48
2020-06-17,000063,675.68
2020-06-18,000063,720.39
2020-06-19,000063,728.72
2020-06-22,000063,717.16
2020-06-23,000063,677.04
2020-06-24,000063,675.0
2020-06-29,000063,666.33
2020-06-30,000063,682.14
2020-07-01,000063,675.68
2020-07-02,000063,688.43
2020-07-03,000063,720.9
2020-07-06,000063,758.8
2020-07-07,000063,770.87
2020-07-08,000063,782.77
2020-07-09,000063,800.96
2020-07-10,000063,763.9
2020-07-13,000063,784.81
2020-07-14,000063,761.52
2020-07-15,000063,726.17
2020-07-16,000063,681.12
2020-07-17,000063,685.54
2020-07-20,000063,701.01
2020-07-21,000063,696.59
2020-07-22,000063,703.73
2020-07-23,000063,675.17
2020-07-24,000063,644.57
2020-07-27,000063,650.69
2020-07-28,000063,652.39
2020-07-29,000063,672.11
2020-07-30,000063,661.4
2020-07-31,000063,665.82
2020-08-03,000063,671.43
2020-08-04,000063,660.89
2020-08-05,000063,665.31
2020-08-06,000063,658.0
2020-08-07,000063,661.23
2020-08-10,000063,651.71
2020-08-11,000063,646.44
2020-08-12,000063,659.94
2020-08-13,000063,652.6
2020-08-14,000063,655.67
2020-08-17,000063,687.8
2020-08-18,000063,679.25
2020-08-19,000063,660.46
2020-08-20,000063,663.87
2020-08-21,000063,664.39
2020-08-24,000063,657.72
2020-08-25,000063,653.11
2020-08-26,000063,650.03
2020-08-27,000063,664.39
2020-08-28,000063,663.53
2020-08-31,000063,666.44
2020-09-01,000063,660.8
2020-09-02,000063,663.7
2020-09-03,000063,643.54
2020-09-04,000063,640.46
2020-09-07,000063,625.43
2020-09-08,000063,619.1
2020-09-09,000063,593.98
2020-09-10,000063,563.74
2020-09-11,000063,575.87
2020-09-14,000063,572.11
2020-09-15,000063,574.33
2020-09-16,000063,574.67
2020-09-17,000063,570.4
2020-09-18,000063,577.24
2020-09-21,000063,592.96
2020-09-22,000063,585.61
2020-09-23,000063,581.34
2020-09-24,000063,566.98
2020-09-25,000063,565.79
2020-09-28,000063,556.9
2020-09-29,000063,562.37
2020-09-30,000063,565.62
2020-10-09,000063,570.4
2020-10-12,000063,595.69
2020-10-13,000063,610.73
2020-10-14,000063,603.21
2020-10-15,000063,593.98
2020-10-16,000063,589.03
2020-10-19,000063,589.54
2020-10-20,000063,595.35
2020-10-21,000063,583.22
2020-10-22,000063,574.67
2020-10-23,000063,571.26
2020-10-26,000063,572.28
2020-10-27,000063,570.74
2020-10-28,000063,589.54
2020-10-29,000063,565.28
2020-10-30,000063,551.43
2020-11-02,000063,531.95
2020-11-03,000063,546.14
2020-11-04,000063,540.67
2020-11-05,000063,594.67
2020-11-06,000063,611.76
2020-11-09,000063,650.55
2020-11-10,000063,624.74
2020-11-11,000063,613.81
2020-11-12,000063,616.88
2020-11-13,000063,612.1
2020-11-16,000063,600.99
2020-11-17,000063,606.63
2020-11-18,000063,610.56
2020-11-19,000063,620.3
2020-11-20,000063,618.93
2020-11-23,000063,610.9
2020-11-24,000063,625.08
2020-11-25,000063,607.31
2020-11-26,000063,610.05
2020-11-27,000063,597.91
2020-11-30,000063,593.47
2020-12-01,000063,599.11
2020-12-02,000063,606.29
2020-12-03,000063,599.11
2020-12-04,000063,594.84
